id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,class
96,301,3.85,2,349,3,343,4,588,8,207,1.29,35,64,534,98,329,95,344,34,214,75,0.83,781,109,63,60,140,233,46,14,4,1
97,245,4.4,2,343,4,274,3,555,10,201,1.05,34,73,485,90,310,102,289,47,216,76,0.9,748,85,71,65,135,198,46,15,3,1
98,257,4.03,2,348,3,315,4,501,10,215,1.34,39,63,407,91,303,106,323,35,216,65,0.91,779,107,75,61,131,203,51,15,3,1
99,290,3.72,3,349,4,289,5,606,9,222,1.27,39,71,355,98,314,86,349,41,173,74,0.77,827,110,79,60,153,217,46,15,4,1
100,262,4.34,3,364,3,319,3,598,9,197,1.18,34,68,386,94,323,93,326,40,245,70,0.89,798,107,75,66,128,222,44,15,2,1
101,275,3.61,3,346,3,335,3,595,9,229,1.08,35,67,454,94,305,89,347,34,229,70,0.71,703,100,65,58,144,222,45,14,4,1
102,267,3.89,1,313,3,313,4,562,8,226,1.16,37,65,405,97,308,101,368,40,222,65,0.92,659,126,68,67,150,232,42,16,11,1
103,264,3.66,1,358,2,299,4,584,9,222,1.43,32,67,404,95,335,97,390,33,245,84,1.03,939,93,72,60,149,177,47,16,5,1
104,282,3.83,2,367,3,308,4,502,8,242,1.17,36,75,385,93,336,94,430,32,233,72,1.03,793,103,78,56,148,203,47,16,3,1
105,279,3.85,2,366,4,303,4,544,10,227,1.5,32,68,445,95,314,88,380,39,194,82,1.07,760,112,80,60,143,156,48,13,8,1
106,269,4.03,2,340,4,244,5,590,8,206,1.47,32,64,483,93,300,96,317,40,233,77,0.99,937,111,68,65,160,178,43,15,2,1
107,256,4.42,3,349,3,267,4,618,9,219,1.24,32,74,473,86,348,98,397,33,185,72,1,942,119,74,59,153,179,51,15,8,1
108,290,4.05,2,339,3,311,4,571,9,193,1.35,32,64,367,85,292,89,415,45,216,76,0.97,736,98,86,70,130,178,43,14,4,1
109,261,4.71,3,349,4,339,4,547,9,229,0.94,30,66,433,92,355,84,368,41,257,70,1,807,113,75,65,124,210,45,15,10,1
110,263,3.97,3,330,3,305,4,585,8,213,1.24,35,72,453,85,338,96,397,38,234,76,1.09,802,110,92,67,148,173,39,15,3,1
111,264,4.13,3,358,2,306,4,563,9,213,1.17,35,67,338,100,339,91,352,33,246,86,0.97,858,113,67,61,144,188,43,15,2,1
112,277,3.8,2,322,3,252,5,628,9,190,1.26,35,65,415,98,331,88,298,36,208,76,0.9,800,132,82,63,142,190,49,14,2,1
113,277,3.95,1,351,3,323,4,622,8,240,1.12,36,72,403,94,342,78,368,30,193,84,0.89,616,109,90,56,135,225,51,15,0,1
114,318,4.56,2,330,3,305,4,631,10,206,1.44,36,73,496,102,317,90,299,45,260,60,0.95,815,112,75,58,145,183,35,16,6,1
115,277,4.17,3,349,3,301,5,589,9,204,1.33,33,67,403,88,358,93,414,33,213,64,0.88,645,125,73,67,148,241,38,16,7,1
116,257,4.38,2,341,3,290,5,577,10,210,1.22,38,63,419,92,320,93,364,39,227,66,0.92,875,121,66,64,127,198,52,14,0,1
117,291,3.66,2,356,3,303,4,593,9,215,1.34,35,72,416,91,299,94,324,34,217,74,1.03,697,115,80,65,136,200,45,15,0,1
118,279,4.74,2,332,3,317,5,530,9,226,1.29,36,75,472,87,334,94,353,37,209,81,0.94,622,107,77,68,148,181,54,15,7,1
119,273,4.24,2,367,4,333,4,556,9,230,1.28,38,77,398,89,315,96,334,41,220,73,0.81,602,114,61,67,142,243,53,15,2,1
120,296,4.58,1,313,3,325,4,617,8,191,1.39,33,60,442,95,316,91,346,36,185,68,1.01,779,113,69,62,126,200,50,14,0,1
121,283,4.46,2,333,2,312,5,587,9,223,1.3,33,74,445,92,299,103,373,35,232,70,0.87,661,92,79,56,133,158,44,15,1,1
122,255,3.76,2,335,3,285,4,625,13,214,1.33,34,70,423,91,322,87,317,33,180,64,0.97,647,117,76,55,148,212,40,15,0,1
123,278,3.74,1,338,3,298,3,562,9,218,1.32,33,76,388,94,340,97,344,45,233,63,0.86,701,125,79,59,141,185,41,16,0,1
124,308,4.34,3,337,3,270,4,595,10,206,1.26,35,63,460,89,314,81,325,37,208,70,0.88,779,129,77,67,132,200,40,14,0,1
125,300,4.36,2,317,3,317,4,509,8,218,1.36,28,69,442,105,331,98,325,45,204,80,1.09,822,116,79,61,142,229,40,17,1,1
126,303,3.7,2,332,2,315,5,546,8,218,0.91,37,75,434,99,322,92,298,36,205,80,1,616,113,81,69,150,211,44,15,7,1
127,249,3.99,2,352,4,293,3,562,10,225,1.34,34,64,457,89,359,98,332,35,210,71,1.06,764,103,89,63,149,185,45,15,0,1
128,316,4.46,2,325,3,311,4,584,9,236,1.36,32,77,503,102,297,96,282,39,201,86,0.88,560,106,62,66,126,198,36,15,9,1
129,283,3.85,2,345,3,272,4,488,11,213,1.37,35,63,396,93,316,90,335,39,202,72,1.17,590,91,81,60,140,182,43,17,5,1
