ID,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,Class_0 or 1
842,1,363.34,1,2,0.0475,2,1
843,1,705.5,1,2,0.0475,2,1
844,1,685,12,14,0.8775,7,1
845,1,680,11,12,0.61,6,1
846,7,1061,2,12,0.61,7,1
847,2,327,1,10,1.2375,2,1
848,1,278,3,5,0.409375,2,1
849,4,1556,2,17,1.044375,11,1
850,5,4509,2,16,0.59,11,1
851,12,960,1,31,2.024375,15,1
852,15,3493,5,59,6.399375,21,1
853,11,1686,3,19,1.399375,11,1
854,13,5538,1,34,2.0775,15,0
855,12,7226,5,19,0.699375,12,0
856,11,12617,3,28,2.46,10,0
857,10,1023,1,29,1.849375,14,0
858,1,58.4,1,4,0.14,3,0
859,2,129,1,2,0.0475,2,0
860,1,119.8,1,1,0.024375,1,0
861,15,1038.55,4,66,5.2775,24,1
862,11,4236,4,46,8.4775,12,1
863,1,8,1,1,0.024375,1,1
864,1,8,1,1,0.024375,1,1
865,1,8,1,1,0.024375,1,0
866,1,8,1,1,0.024375,1,1
867,1,8,1,1,0.024375,1,1
868,3,3545,2,15,0.734375,7,1
869,1,200,1,1,0.024375,1,1
870,1,363,1,3,0.069375,3,1
871,14,1005.9,5,47,3.344375,16,1
872,1,792,2,5,0.409375,2,1
873,3,8479,4,7,0.194375,6,1
874,4,2904,1,6,0.2275,4,1
875,1,85.2,1,1,0.024375,1,1
876,5,4398,5,17,0.994375,9,1
877,1,552.3,1,1,0.024375,1,1
878,1,63.4,1,1,0.024375,1,1
879,3,109.5,1,3,0.069375,3,1
880,1,680,4,5,0.159375,4,1
881,1,680,4,5,0.159375,4,1
882,10,2555,3,76,11.69,17,1
883,20,3936,4,65,9.634375,11,1
884,3,475.5,1,3,0.069375,3,1
885,1,32,1,1,0.024375,1,1
886,1,39,2,2,0.0475,2,1
887,5,1255,1,12,0.96,4,1
888,3,2035,7,9,0.374375,5,1
889,2,3209,4,5,0.209375,3,1
890,3,1683,7,13,0.769375,6,1
891,3,1304,2,13,2.619375,2,1
892,1,16,1,2,0.0975,1,1
893,1,7,1,1,0.024375,1,1
894,1,55,1,4,0.14,3,1
895,1,13.7,1,1,0.024375,1,0
896,2,46.5,1,2,0.0475,2,1
897,6,271,2,9,0.374375,6,1
898,6,4071,3,29,3.999375,10,0
899,4,3928,4,16,0.94,9,1
900,1,131,2,2,0.0975,1,1
901,2,536,1,3,0.119375,2,1
902,12,789.5,1,41,21.974375,3,1
903,3,33.6,1,4,0.09,4,1
904,1,2,1,1,0.024375,1,1
905,7,3292,2,18,1.4475,8,1
906,5,611,1,7,0.894375,2,1
907,1,80,1,1,0.024375,1,1
908,1,102,1,1,0.024375,1,1
909,1,110,1,1,0.024375,1,1
910,1,104,1,1,0.024375,1,0
911,2,25.1,1,2,0.0475,2,0
912,2,5,2,3,0.069375,3,0
913,2,3816,2,2,0.0475,2,0
914,1,15,1,1,0.024375,1,0
