id,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,class
861,8,5362,2,18,1.2475,8,0
862,10,3934,1,17,0.794375,12,0
863,8,6876,4,18,0.9475,10,0
864,1,652,1,1,0.024375,1,0
865,1,66.4,1,2,0.0975,1,0
866,1,148,1,1,0.024375,1,0
867,1,982,2,10,1.3875,2,0
868,3,268,1,7,0.694375,2,0
869,1,51,1,2,0.0975,1,0
870,2,108.4,2,5,0.259375,3,0
871,6,6878,3,11,0.799375,5,0
872,7,14737,3,23,2.394375,5,1
873,4,91,1,8,0.51,4,0
874,1,47,1,2,0.0475,2,0
875,1,27,1,1,0.024375,1,0
876,1,85,1,2,0.0975,1,0
877,1,19.98,1,1,0.024375,1,0
878,1,19.96,1,1,0.024375,1,0
879,1,264.8,1,4,0.24,2,0
880,2,903.6,3,9,0.374375,6,0
881,2,21,2,3,0.069375,3,1
882,1,59.99,1,1,0.024375,1,0
883,2,19.98,2,3,0.119375,2,0
884,2,443,1,5,0.409375,2,0
885,2,68,4,5,0.209375,3,0
886,1,49.96,1,1,0.024375,1,0
887,1,12,1,2,0.0975,1,1
888,3,185,1,5,0.159375,4,1
889,2,2140,2,8,1.21,2,1
890,2,210,1,4,0.24,2,1
891,1,19.97,4,2,0.0475,2,0
892,1,9757,2,2,0.0975,1,0
893,1,169.2,1,4,0.14,3,0
898,3,2623.5,2,5,0.309375,2,0
899,1,72,2,2,0.0975,1,0
900,1,4.9,1,1,0.024375,1,0
901,6,1618,3,11,1.049375,4,0
902,1,93,1,1,0.024375,1,0
903,2,194,4,5,0.159375,4,1
904,3,3941,4,10,0.6375,5,0
905,8,527,2,19,2.249375,8,0
906,1,3,2,2,0.0975,1,0
909,1,14.99,1,1,0.024375,1,0
914,21,4605.5,4,102,29.2975,13,0
915,2,41,4,5,0.159375,4,0
916,3,43.7,1,5,0.109375,5,1
917,2,1070,1,2,0.0475,2,0
918,2,156,1,4,0.09,4,0
919,4,10982,1,8,0.51,4,1
920,1,99,2,2,0.0975,1,0
921,6,3944,7,15,0.384375,12,0
922,5,1193,1,6,0.1775,5,0
923,1,6435,4,23,3.894375,6,0
925,1,270,1,1,0.024375,1,0
926,1,50.28,3,2,0.0475,2,0
927,1,378,1,1,0.024375,1,0
928,7,4288,3,20,2.85,6,0
929,1,100,1,1,0.024375,1,1
930,2,3664,7,5,0.259375,3,0
931,3,422,2,5,0.159375,4,0
932,1,14,1,2,0.0975,1,1
934,1,10.8,1,1,0.024375,1,0
935,1,30,1,4,0.39,1,0
936,2,344,2,2,0.0475,2,0
938,1,604.35,1,1,0.024375,1,0
939,4,956,2,5,0.159375,4,0
940,2,79,3,3,0.119375,2,0
941,2,155,8,8,0.96,2,0
942,1,17,1,1,0.024375,1,0
943,1,30,2,2,0.0475,2,0
944,1,21.9,1,1,0.024375,1,0
945,8,4509,1,27,4.919375,6,0
947,1,18,1,1,0.024375,1,0
951,1,20.45,2,3,0.119375,2,0
952,3,1694,3,6,0.2775,4,0
953,5,625,2,7,0.494375,3,0
954,3,50.7,5,9,0.674375,5,0
955,2,104,3,4,0.24,2,0
956,1,50,2,1,0.024375,1,0
957,8,2165,2,35,26.509375,3,0
960,1,895,6,14,1.4275,4,0
961,4,6092,2,22,2.8475,5,0
962,2,1459,1,4,0.19,2,0
963,1,1117,3,2,0.0975,1,0
964,1,872,1,4,0.09,4,0
965,1,340,1,2,0.0475,2,0
966,1,388.8,2,2,0.0475,2,0
967,1,373.3,2,2,0.0475,2,0
968,1,39.99,1,1,0.024375,1,0
969,1,593,1,1,0.024375,1,0
970,5,216,3,9,0.674375,3,0
971,6,572,1,12,0.81,6,0
974,1,48,1,1,0.024375,1,0
975,1,409.8,1,1,0.024375,1,0
976,1,120,2,1,0.024375,1,0
977,3,159,1,3,0.069375,3,0
978,6,461,1,25,2.084375,8,0
979,2,54,2,2,0.0475,2,0
980,5,2849,1,7,0.194375,6,0
981,2,125,2,2,0.0975,1,0
982,1,338,5,5,0.409375,2,0
983,3,482.1,5,11,1.599375,4,0
984,1,62,1,1,0.024375,1,0
989,1,44.8,1,1,0.024375,1,0
990,1,541,1,1,0.024375,1,0
991,1,487,3,2,0.0475,2,0
993,1,1951,2,5,0.409375,2,0
998,2,75,1,2,0.0975,1,0
999,2,90,2,2,0.0475,2,0
1001,2,3639,3,5,0.209375,3,0
1002,1,13095,1,1,0.024375,1,0
1003,1,22.8,1,1,0.024375,1,0
1004,9,451,2,16,1.34,6,0
1005,9,8778,1,20,1.1,9,0
1006,1,29.98,1,1,0.024375,1,0
1009,1,16,2,3,0.119375,2,0
1011,1,16,3,5,0.609375,1,0
1022,1,50,1,1,0.024375,1,0
1024,1,497,1,1,0.024375,1,0
1025,1,3,3,3,0.119375,2,0
1029,1,4.98,1,1,0.024375,1,0
1030,1,13,1,2,0.0475,2,0
1031,1,600,2,2,0.0475,2,0
1032,2,2930,1,2,0.0975,1,1
1033,2,200,1,3,0.119375,2,0
1034,1,86,2,2,0.0475,2,0
1035,1,395,2,2,0.0475,2,0
1037,1,89,2,4,0.14,3,0
1038,1,69,2,2,0.0475,2,0
1039,1,53,2,2,0.0475,2,0
1040,1,1405,1,2,0.0975,1,0
1041,1,19.99,1,1,0.024375,1,0
1042,1,2374,1,1,0.024375,1,0
1043,1,366,1,1,0.024375,1,0
1044,5,3771,1,6,0.1775,5,0
1045,4,2098,2,10,0.5875,5,0
1046,1,21933,16,122,249.3975,5,0
1047,1,594.7,2,1,0.024375,1,0
1048,1,140,1,1,0.024375,1,0
1049,1,217,1,1,0.024375,1,0
1050,7,1134,1,12,2.96,2,0
1051,1,6958,4,4,0.39,1,0
1052,8,3475,3,18,1.5975,6,0
1053,11,2007,3,43,8.669375,11,0
1054,20,1230,2,46,7.7775,11,0
1055,5,1712,1,8,0.51,4,0
1056,5,2100,3,38,10.7975,5,0
1057,7,326.5,1,11,0.299375,9,0
1058,1,99.98,3,2,0.0975,1,0
1059,1,69.88,3,3,0.119375,2,0
1060,1,127,1,1,0.024375,1,0
1061,1,4178,1,1,0.024375,1,0
1062,1,381,1,1,0.024375,1,0
1063,8,2800,3,14,0.6775,8,0
1065,2,954,1,2,0.0475,2,0
1066,2,836,1,3,0.119375,2,0
1067,10,992,4,30,4.0375,9,0
1068,12,1967.5,2,31,4.924375,9,0
1069,2,1711,1,13,2.319375,2,0
1071,3,754,1,7,1.194375,1,0
1072,1,5770,2,5,0.609375,1,0
1073,2,6457,4,8,1.21,2,0
1074,2,300,1,2,0.0475,2,0
1075,3,327.8,1,4,0.09,4,1
1076,1,14,4,4,0.19,2,1
1078,1,2316,1,9,1.574375,2,1
1079,1,244,4,2,0.0975,1,0
1080,1,185,4,2,0.0975,1,0
1081,3,16446,9,67,37.119375,6,0
1082,4,2034,4,7,0.244375,5,0
1084,11,961,2,27,2.669375,9,0
1086,2,270,1,2,0.0475,2,0
1087,1,383,2,1,0.024375,1,0
1088,5,16143,6,15,0.884375,8,0
1089,2,22,1,2,0.0975,1,0
1092,1,6,2,2,0.0475,2,0
1096,1,5410,3,20,3.8,3,0
1098,1,3,1,3,0.219375,1,0
1099,1,785,2,1,0.024375,1,0
1103,3,4316,2,9,0.774375,3,0
1104,2,4248,3,8,0.76,2,0
1108,2,96,1,2,0.0975,1,0
1109,3,2702,1,13,1.519375,3,0
1110,1,1660,1,1,0.024375,1,0
1111,1,3339,2,2,0.0475,2,0
1112,2,551,1,3,0.119375,2,0
1113,2,3450,3,2,0.0475,2,0
1114,1,33,1,1,0.024375,1,0
1115,1,107,4,4,0.39,1,0
1116,1,364,1,1,0.024375,1,0
